date,game_time,pitcher_name,pitcher_team,pitcher_throws,batter_name,batter_team,batter_position,batting_order,batter_bats
2024-08-17,9:38 PM ET,Griffin Canning,Angels,R,T. d'Arnaud,Braves,C,5,R
2024-08-17,9:38 PM ET,Griffin Canning,Angels,R,R. Laureano,Braves,RF,6,R
2024-08-17,9:38 PM ET,Griffin Canning,Angels,R,J. Kelenic,Braves,LF,7,L
2024-08-17,9:38 PM ET,Griffin Canning,Angels,R,O. Arcia,Braves,SS,8,R
2024-08-17,9:38 PM ET,Griffin Canning,Angels,R,W. Merrifield,Braves,2B,9,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,Taylor Ward,Angels,LF,1,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,Zach Neto,Angels,SS,2,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,N. Schanuel,Angels,1B,3,L
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,Kevin Pillar,Angels,CF,4,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,L. O'Hoppe,Angels,C,5,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,B. Drury,Angels,3B,6,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,Jo Adell,Angels,RF,7,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,M. Stefanic,Angels,DH,8,R
2024-08-17,9:38 PM ET,Chris Sale,Braves,L,Jack Lopez,Angels,2B,9,R
